reviews,titles
인생 영화  그립습니다 ,변호인
더 이상 무슨 말이 필요한가  미친 연출  연기력이 역사의 순간들을 재현하는 것이 얼마나 중요한 것인지 교과서적으로 보여주는 수작 ,변호인
친일 매국노 정권과 군사 독재 정권의 하수인인 검찰아  전두환의 총칼도 이겨낸 우리 자랑스러운 국민이 너희들의 그 얄팍한 막가파 매국노 정치를 곧 끝낼 것이다,변호인
보고싶습니다,변호인
온기를 느끼게 해주는 감동적인 영화입니다 ,변호인
내인생 최고의영화   ,변호인
 ,변호인
잘 만든 영화네요  흥미진진하고 극적 재미도 있고 감동 적입니다,변호인
노잼,변호인
최고다,변호인
원칙주의자  성찰 알 줄 알고 그시대에 옳은 일에 신념을 갖는다는게  이런 사람이 꼭 필요한 시대  아무리 시대가 변해도  세상을 조금이라도 바꿀 수있는 너무 열심히 사셨고 너무 일찍 고인이 되신 진정한 사람 노무현 대통령님 양우석 감독님도 대단하시고 정말 감사한 영화입니다 ,변호인
인상깊은 연기와 좋은 연출의 조합,변호인
울화통이 터지다 못해 머리가 지끈거렸는데 마지막 장면에서 울컥했네요  빨갱이라는 프레임으로 국민을 우롱하고 조종하는 윗세력들도 짜증나지만 그런 윗세력에게 세뇌되어 진실을 보지못하는 사람들이 많다는 것에 더 짜증나고 화가 납니다 ,변호인
굥 시대에 다시 필요한 영화   찍 무식자들은 영화도 안보고 사나 ,변호인
재미있고 감동적이네요,변호인
아픈 시대와 숭고한 가치관의 기록,변호인
몇번을 봤지만   년살며 몇 안되는 최고의 영화다  보며 느낀건 참 멋진 인생을 사셨고 너무 안타까운 인생을 사셨다는 생각이 듭니다 생전에 그리 좋으셨고 멋진분인걸 돌아가시고 알았습니다 너무 안타깝고 슬픈일입니다 그립고 보고 싶습니다 역대 최고의 대통령이십니다,변호인
곽도원 죽이고 싶다  그만큼 연기를 잘 한거겠지요,변호인
개인적으로 송강호배우님 코믹물보다  진지한연기가더좋음 밀양도괜찮았고,변호인
부끄러운 역사는 지금 이 순간에도 계속 되고 있다 ,변호인
군사정권의  개 노릇이나하던 검사 판사   이나라의 엘리트라며 뻐기는 놈들이    행했던 짓거리에 대해 단 한번 반성도 없이 지들 기득권 빼으려고하니   득달같이 달려드는 꼬라지가  ,변호인
음         년에 보니 재미잇진 않네요 국제시장은 재밋던데,변호인
와  송강호님  연기 최고 이제야 이영화를 봤네요,변호인
노무현 대통령님 보고 싶습니다  ,변호인
재미있게 잘봤다,변호인
오늘 다시 이 영화를 찾아 봅니다,변호인
말이 필요하나    느끼면됨,변호인
내가 본 영화중 최고의 명작중 하나 매번 다시 볼때마다 가슴이 뭉클해진다   국가란  대한민국 헌법 제 조 항 대한민국 주권은 국민에 있고 모든 권력은 국민으로부터 나온다 국가란 국민입니다     송우석 명대사 ,변호인
국민을 사랑하고 독재와 맞서 싸워오신 김대중 노무현 전 대통령님께 진심으로 감사드립니다,변호인
헌법은 모든 법의 모법이라고 말한다  모든 권력은 국민으로부터 나오고 국민이 곧 국가다  하지만 국가를 다른게 생각하는 사람들이 있다  바로 살아 있는 권력 청와대 주인을 국가로 생각하며  충성 경쟁을 하는 사람들이 의외로 많다  그들의 과잉 충성 때문에 국민들이 피를 흘리고 죽어야만 했다  국민은 그들에게 통제와 탄압에 대상일까  과연 국민을 개 돼지로 본다고 하는데 진짜 그런지 궁금하다 ,변호인
정말 굉장히 잘 만든 영화다  아 곽도원   상노무스키 역을 너무 잘해서   주먹이 운다는 건 그럴때 두고 하는 말이다    다 좋은데 성 범죄자 개달수가 나와서 평점을 좋게 매길 수가 없다    영화가 좋으니까   점   개달수만 안나왔어도   점    ,변호인
 ,변호인
올해도 또 보네요  ,변호인
 ,변호인
고 노무현 대통령을 디스하는 건 아니고  영화는 별로였다 ,변호인
명대사  모든 권력은  국민에게서   나온다    명배우들의   명연기         ,변호인
이거 실제 주인공 나중에 자살함    뇌물먹은거 들켜서    역시 좌파는 내로남불에 위선자 집단인걸 잘 알수있음,변호인
노대통령님  많이 그립습니다  ,변호인
최고의 영화,변호인
진짜 다시봐도   고노무현대통령님의 일대기  정치생활시작하시기전에 이분의 살아오신 청 장년시절의 이야기     정말 다시봐도 눈물이납니다   근데 한가지 영화에서 마음에 안드는게     처음영화시작할때    이영화는 실화와 실제인물을 바탕으로한 허구입니다            제발 이딴 개소리는 좀 이제 안햇으면 하네요  그냥 당당하게   이영화는 실화와 실제인물을 바탕으로 만들어진   영화입니다  이렇게 말하면 그만이라고 여겨지네요  ,변호인
다시봐도 감동입니다 ,변호인
몇 번을 봤는지 모를만큼  무시로 봤는데 또 봐도 전율이 느껴온다 ,변호인
송강호진짜엄지척척척이다증말 정말연기가실감났어요 정말 모든배우분들이 완전 깔끔하시드만   곽도원은증말 영화보는내내 미버죽을쁜했네 아직도생각할수록 분노할것같고 진짜본인처럼 그사람이진짜마치본인인것처럼 연기진짜 너무잘하네 아무튼전재밌게잘받어요,변호인
재판의 생생함이 느껴지는 것 같았습니다,변호인
결말이 아쉽긴하지만 여운도 깊게 남고 나름 인상깊은 영화였음 송강호 법정씬 모두 다 할말을 잃을만큼 압도하네,변호인
